,Category,URL,Description
0,Education,wikipedia.org,"Wikipedia - Wikipedia, the free encyclopedia that anyone can edit."
1,Education,thefreedictionary.com,"Dictionary, Encyclopedia and Thesaurus - The Free Dictionary - Online Dictionary - Multiple dictionaries including: English dictionary, medical dictionary, legal dictionary, financial dictionary, computer dictionary, thesaurus, dictionary of acronyms and abbreviations, dictionary of idioms, thesaur"
2,Education,khanacademy.org,"Khan Academy - With a library of over 3,000 videos covering everything from arithmetic to physics, finance, and history and hundreds of skills to practice, we're on a mission to help you learn what you want, when you want, at your own pace."
3,Education,reference.com,Reference.com - A Free Online Encyclopedia & Information Reference - Reference.com - a free online encyclopedia and information reference. Research articles from Columbia Encyclopedia and Encyclopedia Britannica.
4,Education,urbandictionary.com,"Urban Dictionary, January 29: reaching on a double"
5,Education,lynda.com,"Software training online-tutorials for Adobe, Microsoft, Apple & more - Software training & tutorial video library. Our online courses help you learn critical skills. Free access & previews on hundreds of tutorials."
6,Education,m-w.com,"Dictionary and Thesaurus - Merriam-Webster Online - Free online dictionary, thesaurus, spanish-english and medical dictionaries, audio pronunciations, Word of the Day, word games, and many more high-quality Merriam-Webster language resources."
7,Education,wikimedia.org,Wikimedia - Wikimedia is a global movement whose mission is to bring free educational content to the world.
8,Education,quizlet.com,"Simple free learning tools for students and teachers | Quizlet - We make simple learning tools that let you study anything, for free."
9,Education,starfall.com,"Starfall's Learn to Read with phonics - A free website to teach children to read with phonics.  For preschool, kindergarten, and first grade. Exciting phonics games and online interactive books."
10,Education,wordreference.com,"English to French, Italian, German & Spanish Dictionary - WordReference.com - Free online Oxford dictionaries - Spanish, French, Italian, German and more. Conjugations, audio pronunciations and forums for your questions."
11,Education,harvard.edu,"Harvard University - Harvard University, which celebrated its 375th anniversary in 2011, is the oldest institution of higher learning in the United States. Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make a diffe"
12,Education,edmodo.com,"Edmodo | Where Learning Happens | Sign up, Sign In - Edmodo provides a safe and easy way for your class to connect and collaborate, share content, and access homework, grades and school notices. Our goal is to help educators harness the power of social media to customize the classroom for each and "
13,Education,brainyquote.com,"Famous Quotes at BrainyQuote - Share our extensive collection of famous quotes by authors, celebrities, newsmakers, and more. Enjoy our Quotes of the Day on the web, Facebook, and blogs."
14,Education,coolmath-games.com,"Cool Math Games - Free Online Math Games, Cool Puzzles, Mazes and Coloring Pages for Kids of All Ages - Cool Math Games has cool free online games to learn math, reading and spelling, geography, science, strategy, skill, arithmetic, shapes and colors, logic and memory skills.  We've got very cool j"
15,Education,blackboard.com,"Blackboard | Technology and Solutions Built for Education   - Blackboard helps clients enrich all aspects of the education experience by engaging and assessing learners, making their daily lives more convenient and secure, and keeping them informed and aware of the most important information."
16,Education,codecademy.com,Learn to code | Codecademy
17,Education,ed.gov,U.S. Department of Education
18,Education,turnitin.com,"Turnitin : Leading Plagiarism Checker, Online Grading and Peer Review - Leading academic plagiarism checker technology for teachers and students. Online plagiarism detection, grammar check, grading tools."
19,Education,phoenix.edu,"Online Schools, Classes, Degree Programs - University of Phoenix - University of Phoenix offers campus and online degree programs, certificate courses, and individual online classes. Learn more about admissions, accreditation, tuition and financial aid options, or get started with your enrollment t"
20,Education,sporcle.com,"Sporcle | Mentally Stimulating Diversions | Online Games & Trivia by Sporcle - Play thousands of free online trivia quizzes about Geography, History, Sports, Music, TV and more!"
21,Education,collegeboard.org,College Admissions - SAT - University & College Search Tool - Get connected to your college. Find official college planning and preparation tools to help you succeed. Visit the College Board website - your inside source.
22,Education,stanford.edu,"Stanford University - Stanford University is one of the world's leading research and teaching institutions.  It is located in Stanford, California."
23,Education,ixl.com,"IXL Math | Online math practice and lessons - IXL is the Web's most comprehensive math practice site. Popular among educators and families, IXL provides unlimited questions in more than 2,000 topics. An adaptive learning system, featuring games and awards, inspires students to achieve."
24,Education,funbrain.com,"FunBrain.com - The Internet's #1 Education Site for K-8 Kids and Teachers - Funbrain.com - FunBrain is the #1 site for online educational games for kids of all ages. (math, grammar, science, spelling, history)"
25,Education,ratemyprofessors.com,"Rate My Professors – Find and rate your professor, campus and more – RateMyProfessors.com - Over 1.5 million professors & 13 million opinions. Rate My Professors is the best professor ratings source based on student feedback. Find & rate a professor!"
