,Category,url,description,title
0,Education,https://wikipedia.org,"Wikipedia is a free online encyclopedia, created and edited by volunteers around the world and hosted by the Wikimedia Foundation.",Wikipedia
1,Education,https://thefreedictionary.com,"The World's most comprehensive free online dictionary, thesaurus, and encyclopedia with synonyms, definitions, idioms, abbreviations, and medical, financial, legal specialized dictionaries","Dictionary, Encyclopedia and Thesaurus - The Free Dictionary"
2,Education,https://khanacademy.org,"Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. Khan Academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.","Khan Academy | Free Online Courses, Lessons & Practice"
3,Education,https://reference.com,"Whether you're interested in history, science or culture, there's something for everyone on Reference.",Reference.com - What's Your Question?
4,Education,https://urbandictionary.com,Whole nother may have evolved from another but experts are baffled so its true meaning remains unknown.,"Urban Dictionary, June 1: whole nother"
5,Education,https://lynda.com,"Learn business, creative, and technology skills to achieve your personal and professional goals. Join LinkedIn Learning today to get access to thousands of courses. Lynda is now LinkedIn Learning.","LinkedIn Learning with Lynda: Online Training Courses for Creative, Technology, Business Skills"
6,Education,https://m-w.com,"The dictionary by Merriam-Webster is America's most trusted online dictionary for English word definitions, meanings, and pronunciation. #wordsmatter",Dictionary by Merriam-Webster: America's most-trusted online dictionary
7,Education,https://wikimedia.org,Wikimedia is a global movement whose mission is to bring free educational content to the world.,Wikimedia
8,Education,https://quizlet.com,error,error
9,Education,https://starfall.com,"At Starfall, children have fun while they learn - specializing in reading, phonics & math - educational games, movies, books, songs, and more for children K-3.","Starfall Education: Kids Games, Movies, & Books K-3"
10,Education,https://wordreference.com,"Free online dictionaries - Spanish, French, Italian, German and more. Conjugations, audio pronunciations and forums for your questions.","English to French, Italian, German & Spanish Dictionary - WordReference.com"
11,Education,https://harvard.edu,"Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",Harvard University
12,Education,https://edmodo.com,,
13,Education,https://brainyquote.com,"Share our collection of inspirational and famous quotes by authors you know and love. Share our Quotes of the Day on the web, Facebook, Twitter, and blogs.",Inspirational Quotes at BrainyQuote
14,Education,https://coolmath-games.com,error,error
15,Education,https://blackboard.com,"Blackboard is a leading global educational technology solution for Higher Ed, K-12, business, and government, connecting education to the power of technology.",Educational Technology Services | Blackboard | North America
16,Education,https://codecademy.com,error,error
17,Education,https://ed.gov,,Home | U.S. Department of Education
18,Education,https://turnitin.com,"Turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","Empower Students to Do Their Best, Original Work | Turnitin"
19,Education,https://phoenix.edu,University of Phoenix offers online degrees & courses aligned to 300+ occupations. Explore tuition-saving opportunities at our accredited online college!,"Online College, Affordable & Always On | University of Phoenix"
20,Education,https://sporcle.com,error,error
21,Education,https://collegeboard.org,,"College Board - SAT, AP, College Search and Admission Tools"
22,Education,https://stanford.edu,"One of the world's leading research and teaching institutions. Catalyzing discovery, accelerating solutions, sustaining life on Earth, and preparing students for active citizenship.",Stanford University
23,Education,https://ixl.com,"IXL is the world's most popular subscription-based learning site for K–12. Used by over 13 million students, IXL provides personalized learning in more than 8,500 topics, covering math, language arts, science, social studies, and Spanish. Interactive questions, awards, and certificates keep kids motivated as they master skills.","IXL | Math, Language Arts, Science, Social Studies, and Spanish"
24,Education,https://funbrain.com,"Funbrain is the leader in online educational interactive content, with hundreds of free games, books & videos for kids of all ages. Check out Funbrain here.",Free Online Learning & Education For Kids | Funbrain - Funbrain
25,Education,https://ratemyprofessors.com,"With over 1.3 million professors, 7,000 schools &amp; 15 million ratings, Rate My Professors is the best professor ratings source based on student feedback. Find &amp; rate your professors or school! #LeaveYourMark",Rate My Professors
26,Education,https://k12.com,"K12 is a trusted provider of online learning for many virtual public schools, as well as homeschooling. Take charge of your child’s education & enroll now.",K12: Online Public School Programs | Online Learning Programs
27,Education,https://berkeley.edu,,"Home | University of California, Berkeley"
28,Education,https://utexas.edu,"The University of Texas at Austin is a bold, ambitious leader, providing a first-class education and the tools of discovery to more than 51,000 students.",The University of Texas at Austin
29,Education,https://mentalfloss.com,"Test your knowledge with amazing and interesting facts, trivia, quizzes, and brain teaser games on MentalFloss.com.",Mental Floss
30,Education,https://umich.edu,"A top-ranked public university, the University of Michigan has a tradition of excellence in research, learning and teaching, sports and the arts, and more.",University of Michigan
31,Education,https://yourdictionary.com,"Our online dictionary is the best source for definitions and origins of words, meanings of concepts, example sentences, synonyms and antonyms, grammar tips, and more.",YourDictionary: Definitions and Meanings From Over a Dozen Trusted Dictionary Sources
32,Education,https://si.edu,"Official website of the Smithsonian, the world's largest museum and research complex, with 19 museums, 9 research centers, and affiliates around the world.",Smithsonian Institution | Home
33,Education,https://spanishdict.com,The world's most popular Spanish translation website. Over 1 million words and phrases. Free. Easy. Accurate.,"SpanishDict | English to Spanish Translation, Dictionary, Translator"
34,Education,https://mit.edu,"The mission of MIT is to advance knowledge and educate students in science, technology and other areas of scholarship that will best serve the nation and the world in the 21st century.",MIT - Massachusetts Institute of Technology
35,Education,https://britannica.com,"Explore the fact-checked online encyclopedia from Encyclopaedia Britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.",Encyclopedia Britannica | Britannica
36,Education,https://coolmath.com,"Cool Math has free online cool math lessons, cool math games and fun math activities. Really clear math lessons (pre-algebra, algebra, precalculus), cool math games, online graphing calculators, geometry art, fractals, polyhedra, parents and teachers areas too.","Cool Math - free online cool math lessons, cool math games & apps, fun math activities, pre-algebra, algebra, precalculus"
37,Education,https://infoplease.com,"Infoplease is a free, authoritative, and respected reference for Internet users that provides a comprehensive encyclopedia, almanac, atlas, dictionary, and thesaurus.","Infoplease: An Online Encyclopedia, Almanac, Atlas, Biographies, Dictionary, and Thesaurus"
38,Education,https://columbia.edu,,Columbia University in the City of New York
39,Education,https://usc.edu,"The University of Southern California is a leading private research university located in Los Angeles — a global center for arts, technology and international business. It is home to the College of Letters, Arts and Sciences and 21 exceptional academic schools and units. USC’s Health Sciences campus houses renowned specialized care and research in cancer, stem cell and regenerative medicine, orthopedics and sports medicine. The university is the largest private sector employer in the city of Los Angeles, responsible for $8 billion annually in economic activity in the region.",University of Southern California
40,Education,https://cornell.edu,"Cornell University is a private research university that provides an exceptional education for undergraduates and graduate and professional students. Cornell's colleges and schools encompass more than 100 fields of study, with locations in Ithaca, New York, New York City and Doha, Qatar.",Cornell University
41,Education,https://purdue.edu,"Purdue University is a world-renowned, public research university that advances discoveries in science, technology, engineering and math. With its flagship campus in West Lafayette, Indiana, Purdue is a land-grant university with a system that has statewide campuses and online, adult-learning and polytechnic programs.",Purdue University - Indiana's Land Grant University
42,Education,https://searchquotes.com,"Best collection of famous quotes and sayings on the web! Quotes from famous authors, movies and people. Amazing quotes to bring inspiration, personal growth, love and happiness to your everyday life.",Quotes and Sayings - SearchQuotes
43,Education,https://vt.edu,,Home | Virginia Tech
44,Education,https://rosettastone.com,Rosetta Stone is the best way to learn a foreign language. The award-winning language solution combines proven learning methods with the world's best speech recognition technology.,Official Rosetta Stone® - Language Learning - Learn a Language
45,Education,https://acronymfinder.com,Acronym Finder is the largest and most trusted database of over 4 million acronyms and abbreviations. What does an abbreviation stands for? The answer is here,Abbreviations and acronyms dictionary
46,Education,https://wisc.edu,"The University of Wisconsin is a top-ranked research institution located in Madison, Wisconsin, providing exceptional education opportunities to undergraduates, graduate and professional students.",University of Wisconsin–Madison
47,Education,https://coursera.org,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.",Coursera | Online Courses & Credentials From Top Educators. Join for Free
48,Education,https://nyu.edu,,NYU
49,Education,https://instructure.com,"Instructure's educational software includes Canvas LMS, used by schools and universities worldwide. Learn why Instructure is a great place to work and to invest in.",Instructure | Educational Software Development
50,Education,https://washington.edu,University of Washington,UW Homepage
51,Education,https://udacity.com,"Learn online and advance your career with courses in programming, data science, artificial intelligence, digital marketing, and more. Gain in-demand technical skills. Join today!",Learn the Latest Tech Skills; Advance Your Career | Udacity
52,Education,https://metmuseum.org,,
53,Education,https://education.com,"Get a learning boost with thousands of worksheets, games, lesson plans, and more from our library of printable and digital resources for preschool, kindergarten, and elementary learners.",Education.com | #1 Educational Site for Pre-K to 8th Grade
54,Education,https://psu.edu,"Penn State is a major, public, research-I university serving Pennsylvania and the global community. Learn more about our undergraduate, graduate, and doctoral degree programs.",The Pennsylvania State University | Penn State
55,Education,https://spellingcity.com,Improve knowedge of vocabulary words with spelling practice from VocabularySpellingCity. Our engaging phonics games for kids help students become spelling masters.,Vocabulary Words - Spelling Practice - Phonics Games for Kids
56,Education,https://osu.edu,"Discover Ohio State, the highest ranked public university in Ohio, is home to the Wexner Medical Center and world-class graduate and undergraduate programs.",The Ohio State University
57,Education,https://ncsu.edu,"Discover North Carolina State University, a leading public research university located in Raleigh, North Carolina.",NC State University
58,Education,https://fullsail.edu,error,error
59,Education,https://ucla.edu,"UCLA advances knowledge, addresses pressing societal needs and creates a university enriched by diverse perspectives were all individuals can flourish.",UCLA
60,Education,https://yale.edu,"Since its founding in 1701, Yale University has been dedicated to expanding and sharing knowledge, inspiring innovation, and preserving cultural and scientific information for future generations.",Yale University
61,Education,https://ufl.edu,"As a top 5 public research university, Florida fosters a uniquely collaborative environment that transforms potential into actual results. Learn more.",Home | University of Florida
62,Education,https://bu.edu,Boston University is a leading private research institution with two primary campuses in the heart of Boston and programs around the world.,Homepage | Boston University
63,Education,https://mathsisfun.com,"Math explained in easy language, plus puzzles, games, worksheets and an illustrated dictionary. For K-12 kids, teachers and parents.",Math is Fun
64,Education,https://edline.net,error,error
65,Education,https://wiktionary.org,,Wiktionary
66,Education,https://shmoop.com,The cozy home of your favorite free study guides and the most helpful study tools around! Check out our new digs and get the help you need!,Homework Help & Study Guides For Students | Shmoop
67,Education,https://forvo.com,error,error
68,Education,https://teacherspayteachers.com,World’s most popular online marketplace for original educational resources with more than four million resources available for use today.,Teaching Resources & Lesson Plans | Teachers Pay Teachers
69,Education,https://craftsy.com,"Craftsy is your online resource for all creative makers, where you can find everything you need – from basic instruction to advanced techniques.",Craftsy.com | Express Your Creativity! | Engage your passion with Craftsy and learn to make something beautiful!
70,Education,https://chronicle.com,,
71,Education,https://asu.edu,,Arizona State University | Arizona State University
72,Education,https://thinkexist.com,error,error
73,Education,https://quotationspage.com,error,error
74,Education,https://discoveryeducation.com,,
75,Education,https://webopedia.com,Webopedia is the most comprehensive information technology reference. Read computer definitions and study guides now.,"Webopedia: IT & Computer Dictionary, Study Guides & Reviews"
76,Education,https://colorado.edu,"The University of Colorado Boulder is a bold, innovative community of scholars and learners who accelerate human potential to solve the humanitarian, social and technological challenges of our time. Come to CU Boulder and discover what you can be.",Home | University of Colorado Boulder
77,Education,https://uga.edu,,UGA
78,Education,https://enotes.com,error,error
79,Education,https://usingenglish.com,"Resources to learn the English language for ESL, EFL, ESOL, and EAP students and teachers. Browse our Glossary of Terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on English here.",UsingEnglish.com: English Language (ESL) Learning Online
80,Education,https://msu.edu,,Michigan State University
81,Education,https://busuu.com,Study a new language online with Busuu's award-winning courses. Learn together with native speakers in Busuu's community.,Busuu - Learn Languages Online: Start for Free
82,Education,https://funtrivia.com,error,error
83,Education,https://wiziq.com,Virtual Classroom and LMS Software to deliver live and self-paced online courses. Everything you need to teach and train online. Start now.,Virtual Classroom and LMS Software | WizIQ
84,Education,https://jhu.edu,"Johns Hopkins, founded in 1876, is America's first research university and home to nine world-class academic divisions working together as one university",Home | Johns Hopkins University
85,Education,https://upenn.edu,,University of Pennsylvania
86,Education,https://virginia.edu,error,error
87,Education,https://ets.org,"ETS is committed to advancing quality and equity in education for all people worldwide through assessment development, educational research, policy studies and more.",ETS Home
88,Education,https://engrade.com,error,error
89,Education,https://greatschools.net,error,error
90,Education,https://udemy.com,"Udemy is an online learning and teaching marketplace with over 185,000 courses and 49 million students. Learn programming, marketing, data science and more.","Online Courses - Learn Anything, On Your Schedule | Udemy"
91,Education,https://java2s.com,error,error
92,Education,https://proprofs.com,"ProProfs - Knowledge Management Software for Quizzes, Tests, Training, Flashcards, Knowledge Base. Get started with our knowledge management softwares.","ProProfs: SAAS Software for Training, Customer Support & More"
93,Education,https://salliemae.com,error,error
94,Education,https://oxforddictionaries.com,error,error
95,Education,https://liberty.edu,"Liberty University has over 700 degrees at the bachelor's, master's, or doctoral level. Study at our beautiful campus in central Virginia or online from anywhere in the world!",Liberty University: A Christian University in Virginia and Online
96,Education,https://northwestern.edu,"Northwestern is one of the country’s leading private research and teaching universities, located in Evanston, IL. Our highly collaborative environment provides our diverse students and faculty with exceptional opportunities for personal and professional growth.",Northwestern University
97,Education,https://nd.edu,The University of Notre Dame is a private research university inspired by its Catholic character to be a powerful force for good in the world.,University of Notre Dame
98,Education,https://rutgers.edu,"Rutgers, The State University of New Jersey, is one of America's leading public research universities. Consistently top-ranked, Rutgers offers a range of undergraduate and graduate degree programs and continuing education opportunities.",Rutgers University
99,Education,https://arizona.edu,"We live our purpose, mission and values every day and we do this in one of the most incredible places on Earth. At the University of Arizona, everywhere you look is filled with wonder.",University of Arizona | The University of Arizona
100,Education,https://edublogs.org,,"Edublogs – free blogs for education – Blogs and websites for teachers, students, and schools"
101,Education,https://unc.edu,"The University of North Carolina at Chapel Hill, the nation’s first public university, is a global higher education leader known for innovative teaching, research and public service. A member of the prestigious Association of American Universities, Carolina regularly ranks as the best value for academic quality in U.S. public higher education.",The University of North Carolina at Chapel Hill
102,Education,https://desire2learn.com,error,error
103,Education,https://umd.edu,,The University of Maryland | A Preeminent Public Research University
104,Education,https://macmillandictionary.com,error,error
105,Education,https://studyisland.com,[block:block=566] Boost Standards Mastery and Proficiency Students who use our standards-based formative assessment and practice program achieve higher math and reading assessment scores.,Study Island | Edmentum
106,Education,https://phrases.org.uk,"The meanings and origins of thousands of English phrases, sayings, idioms, expressions and proverbs that we use daily.","Phrases and Sayings, with meanings and origins explained."
107,Education,https://vanderbilt.edu,"Vanderbilt is a private research university in Nashville, Tennessee. It offers 70 undergraduate majors and a full range of graduate and professional degrees across 10 schools and colleges.",Vanderbilt University
