,Unnamed: 0,Unnamed: 0.1,Category,url,Description,description,title
0,0,0,Education,https://wikipedia.org,"Wikipedia - Wikipedia, the free encyclopedia that anyone can edit.","Wikipedia is a free online encyclopedia, created and edited by volunteers around the world and hosted by the Wikimedia Foundation.",Wikipedia
1,1,1,Education,https://thefreedictionary.com,"Dictionary, Encyclopedia and Thesaurus - The Free Dictionary - Online Dictionary - Multiple dictionaries including: English dictionary, medical dictionary, legal dictionary, financial dictionary, computer dictionary, thesaurus, dictionary of acronyms and abbreviations, dictionary of idioms, thesaur","The World's most comprehensive free online dictionary, thesaurus, and encyclopedia with synonyms, definitions, idioms, abbreviations, and medical, financial, legal specialized dictionaries","Dictionary, Encyclopedia and Thesaurus - The Free Dictionary"
2,2,2,Education,https://khanacademy.org,"Khan Academy - With a library of over 3,000 videos covering everything from arithmetic to physics, finance, and history and hundreds of skills to practice, we're on a mission to help you learn what you want, when you want, at your own pace.","Learn for free about math, art, computer programming, economics, physics, chemistry, biology, medicine, finance, history, and more. Khan Academy is a nonprofit with the mission of providing a free, world-class education for anyone, anywhere.","Khan Academy | Free Online Courses, Lessons & Practice"
3,3,3,Education,https://reference.com,Reference.com - A Free Online Encyclopedia & Information Reference - Reference.com - a free online encyclopedia and information reference. Research articles from Columbia Encyclopedia and Encyclopedia Britannica.,"Whether you're interested in history, science or culture, there's something for everyone on Reference.",Reference.com - What's Your Question?
4,4,4,Education,https://urbandictionary.com,"Urban Dictionary, January 29: reaching on a double",Whole nother may have evolved from another but experts are baffled so its true meaning remains unknown.,"Urban Dictionary, June 1: whole nother"
5,5,5,Education,https://lynda.com,"Software training online-tutorials for Adobe, Microsoft, Apple & more - Software training & tutorial video library. Our online courses help you learn critical skills. Free access & previews on hundreds of tutorials.","Learn business, creative, and technology skills to achieve your personal and professional goals. Join LinkedIn Learning today to get access to thousands of courses. Lynda is now LinkedIn Learning.","LinkedIn Learning with Lynda: Online Training Courses for Creative, Technology, Business Skills"
6,6,6,Education,https://m-w.com,"Dictionary and Thesaurus - Merriam-Webster Online - Free online dictionary, thesaurus, spanish-english and medical dictionaries, audio pronunciations, Word of the Day, word games, and many more high-quality Merriam-Webster language resources.","The dictionary by Merriam-Webster is America's most trusted online dictionary for English word definitions, meanings, and pronunciation. #wordsmatter",Dictionary by Merriam-Webster: America's most-trusted online dictionary
7,7,7,Education,https://wikimedia.org,Wikimedia - Wikimedia is a global movement whose mission is to bring free educational content to the world.,Wikimedia is a global movement whose mission is to bring free educational content to the world.,Wikimedia
8,8,8,Education,https://quizlet.com,"Simple free learning tools for students and teachers | Quizlet - We make simple learning tools that let you study anything, for free.",error,error
9,9,9,Education,https://starfall.com,"Starfall's Learn to Read with phonics - A free website to teach children to read with phonics.  For preschool, kindergarten, and first grade. Exciting phonics games and online interactive books.","At Starfall, children have fun while they learn - specializing in reading, phonics & math - educational games, movies, books, songs, and more for children K-3.","Starfall Education: Kids Games, Movies, & Books K-3"
10,10,10,Education,https://wordreference.com,"English to French, Italian, German & Spanish Dictionary - WordReference.com - Free online Oxford dictionaries - Spanish, French, Italian, German and more. Conjugations, audio pronunciations and forums for your questions.","Free online dictionaries - Spanish, French, Italian, German and more. Conjugations, audio pronunciations and forums for your questions.","English to French, Italian, German & Spanish Dictionary - WordReference.com"
11,11,11,Education,https://harvard.edu,"Harvard University - Harvard University, which celebrated its 375th anniversary in 2011, is the oldest institution of higher learning in the United States. Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make a diffe","Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",Harvard University
12,12,12,Education,https://edmodo.com,"Edmodo | Where Learning Happens | Sign up, Sign In - Edmodo provides a safe and easy way for your class to connect and collaborate, share content, and access homework, grades and school notices. Our goal is to help educators harness the power of social media to customize the classroom for each and ",,
13,13,13,Education,https://brainyquote.com,"Famous Quotes at BrainyQuote - Share our extensive collection of famous quotes by authors, celebrities, newsmakers, and more. Enjoy our Quotes of the Day on the web, Facebook, and blogs.","Share our collection of inspirational and famous quotes by authors you know and love. Share our Quotes of the Day on the web, Facebook, Twitter, and blogs.",Inspirational Quotes at BrainyQuote
14,14,14,Education,https://coolmath-games.com,"Cool Math Games - Free Online Math Games, Cool Puzzles, Mazes and Coloring Pages for Kids of All Ages - Cool Math Games has cool free online games to learn math, reading and spelling, geography, science, strategy, skill, arithmetic, shapes and colors, logic and memory skills.  We've got very cool j",error,error
15,15,15,Education,https://blackboard.com,"Blackboard | Technology and Solutions Built for Education   - Blackboard helps clients enrich all aspects of the education experience by engaging and assessing learners, making their daily lives more convenient and secure, and keeping them informed and aware of the most important information.","Blackboard is a leading global educational technology solution for Higher Ed, K-12, business, and government, connecting education to the power of technology.",Educational Technology Services | Blackboard | North America
16,16,16,Education,https://codecademy.com,Learn to code | Codecademy,error,error
17,17,17,Education,https://ed.gov,U.S. Department of Education,,Home | U.S. Department of Education
18,18,18,Education,https://turnitin.com,"Turnitin : Leading Plagiarism Checker, Online Grading and Peer Review - Leading academic plagiarism checker technology for teachers and students. Online plagiarism detection, grammar check, grading tools.","Turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","Empower Students to Do Their Best, Original Work | Turnitin"
