,url,description,title,url_file_type
0,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
1,text/html,,,
2,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
3,text/html,,,
4,text/html,,,
5,text/html,,,
6,text/html,,,
7,text/html,,,
8,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
9,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
10,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
11,text/html,,,
12,text/html,,,
13,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
14,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
15,[ERROR] HTTP Error 404: Not Found,,,
16,[ERROR] HTTP Error 404: Not Found,,,
17,[ERROR] HTTP Error 404: Not Found,,,
18,[ERROR] HTTP Error 404: Not Found,,,
19,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
20,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
21,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
22,text/html,,,
23,[ERROR] HTTP Error 404: Not Found,,,
24,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
25,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
26,[ERROR] HTTP Error 404: Not Found,,,
27,text/html,,,
28,[ERROR] HTTP Error 404: Not Found,,,
29,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
30,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
31,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
32,text/html,,,
33,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
34,text/html,,,
35,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
36,text/html,,,
37,text/html,,,
38,text/html,,,
39,[ERROR] HTTP Error 404: Not Found,,,
40,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
41,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
42,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
43,[ERROR] <urlopen error [Errno 11001] getaddrinfo failed>,,,
44,[ERROR] HTTP Error 404: Not Found,,,
