,url,description,title,url_file_type
2,https://www.omgubuntu.co.uk/tag/appupdates,"Here are the latest batch of Linux app updates, with new features distilled into an easily digestible format. Plus, instructions on how to install them too.",App Updates Archives - OMG! Ubuntu!,text/html
3,https://www.omgubuntu.co.uk/2021/12/audacity-gives-user-a-xmas-gift-50x-faster-project-loading,"Big performance improvements are on offer in the latest update to Audacity, the open source audio editor, as well as new shortcuts and several UI tweaks.",Audacity Delivers an Early Xmas Present: 50x Faster Project Loading - OMG! Ubuntu!,text/html
8,https://www.omgubuntu.co.uk/2021/12/maui-shell-convergent-desktop-for-linux-devices,The Maui Project recently shared designs for a new convergent Linux shell that will work across mobile devices and regular desktops — and it really fires,Maui Shell is a Beautiful Vision for the Future of Linux - OMG! Ubuntu!,text/html
17,https://www.omgubuntu.co.uk/2021/12/enlightenment-desktop-0-25-release,"Fans of the Enlightenment desktop need to check out the new Enlightenment 0.25 release. It includes a new look, fingerprint support, and more.",The Enlightenment Desktop Just Got a Big Update - OMG! Ubuntu!,text/html
23,https://www.omgubuntu.co.uk/2021/12/libadwaita-1-0-arrives-to-kickstart-a-new-era-of-gtk-app-development,"It's big, bold, and controversial – and it's now here. Libadwaita 1.0 has been released. Learn why it's a big deal, and what it could mean for Ubuntu.",Libadwaita 1.0 Arrives to Kickstart a New Era of GTK App Development - OMG! Ubuntu!,text/html
92,https://www.kaskus.co.id/,"Forum diskusi hobi, rumah ribuan komunitas dan pusat jual beli barang hobi di Indonesia.","KASKUS - Berbagi Hobi, Berkomunitas",text/html
170,https://outlook.live.com/owa/azis.naufal@gmail.com/startupdata.ashx?app=Opx&n=0,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",Outlook – free personal email and calendar from Microsoft,text/html
215,https://www.betclic.com/en/sports-betting/,Enjoy Online Betting on all the major Sports events and Live Matches with Betclic ! All the statistics and updated Odds for more than 20 Sports. Register Now !,"Online Sports Betting Football, Tennis, Basketball, Ice Hockey",text/html
264,https://www.betfair.com/sport/home,Bet online with Betfair Sportsbook and browse our great selection of sports betting odds. ✓Bet In-Play ✓Cash Out ✓Sports Betting Odds,Online Sports Betting & Odds » Bet with Betfair™ Sportsbook,text/html
269,https://www.betfair.com/sport/football/mexican-liga-mx/san-luis-v-pachuca/31143180?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
270,https://www.betfair.com/sport/ice-hockey/russian-khl/hc-red-star-kunlun-v-severstal-cherepovets/31153918?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html
271,https://www.betfair.com/sport/football/english-fa-cup/millwall-v-crystal-palace/31144152?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
272,https://www.betfair.com/sport/football/spanish-copa-del-rey/sporting-gijon-v-villarreal/31144639?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
273,https://www.betfair.com/sport/tennis/wta-melbourne-summer-set-1-2022/s-zhang-v-burel/31155538?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html
274,https://www.betfair.com/sport/table-tennis/moscow-liga-pro/viktor-rakhmanovskii-v-egor-evgenyevich-markelov/31157202?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Table Tennis with Betfair™ Sportsbook and browse Table Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Table Tennis Betting Odds,Table Tennis Betting & Table Tennis Odds Online » Betfair™ Sportsbook,text/html
275,https://www.betfair.com/sport/american-football/nfl/indianapolis-colts-jacksonville-jaguars/31150470?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on American Football with Betfair™ Sportsbook and browse American Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓American Football Betting Odds,American Football Betting & American Football Odds Online » Betfair™ Sportsbook,text/html
276,https://www.betfair.com/sport/football/greek-super-league/panathinaikos-v-aris/31149841?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
277,https://www.betfair.com/sport/football/german-3-liga/tsv-havelse-v-duisburg/31138609?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
278,https://www.betfair.com/sport/basketball/ncaab/colorado-oregon/31156230?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Basketball with Betfair™ Sportsbook and browse Basketball betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Basketball Betting Odds,Basketball Betting & Basketball Odds » Betfair™ Sportsbook,text/html
279,https://www.betfair.com/sport/tennis/wta-melbourne-summer-set-2-2022/pegula-v-begu/31155664?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html
280,https://www.betfair.com/sport/football/russian-premier-league/sochi-v-arsenal-tula/31145368?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
281,https://www.betfair.com/sport/e-sports/csgo-weplay-academy-league/young-ninjas-v-astralis-talent/31151073?xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on E-sports with Betfair™ Sportsbook and browse E-sports betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓ E-sports Gambling,E-sports Betting & E-sports Odds » Betfair™ Sportsbook,text/html
282,https://www.betfair.com/sport/football/spanish-la-liga/sevilla-v-getafe/31139590?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
283,https://www.betfair.com/sport/ice-hockey/russian-mhl/belye-medvedi-v-irbis-kazan/31154160?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html
284,https://www.betfair.com/sport/ice-hockey,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html
285,https://www.betfair.com/sport/football/german-bundesliga/bochum-v-wolfsburg/31132281?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
286,https://www.betfair.com/sport/football/french-ligue-2/toulouse-v-pau/31147933?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
287,https://www.betfair.com/sport/tennis/wta-adelaide-international-1-2022/kenin-melichar-v-blinkova-eikeri/31155501?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Tennis with Betfair™ Sportsbook and browse Tennis betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Tennis Betting Odds,Tennis Betting & Tennis Odds » Betfair™ Sportsbook,text/html
289,https://www.betfair.com/sport/rugby-union/the-six-nations/ireland-v-wales/31086328?xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Rugby Union with Betfair™ Sportsbook and browse Rugby Union betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Rugby Union Betting Odds,Rugby Union Betting & Rugby Union Odds » Betfair™ Sportsbook,text/html
290,https://www.betfair.com/sport/basketball/nba/detroit-pistons-milwaukee-bucks/31153675?selectedGroup=-78637064&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Basketball with Betfair™ Sportsbook and browse Basketball betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Basketball Betting Odds,Basketball Betting & Basketball Odds » Betfair™ Sportsbook,text/html
295,https://www.betfair.com/sport/football/german-bundesliga/bochum-v-wolfsburg/31132281?selectedGroup=65921&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html
296,https://www.betfair.com/sport/american-football/nfl/indianapolis-colts-jacksonville-jaguars/31150470?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on American Football with Betfair™ Sportsbook and browse American Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓American Football Betting Odds,American Football Betting & American Football Odds Online » Betfair™ Sportsbook,text/html
297,https://www.betfair.com/sport/ice-hockey/russian-mhl/belye-medvedi-v-irbis-kazan/31154160?selectedGroup=-78637064&xsrftoken=0dbe2110-6c8f-11ec-9e7c-fa163eb25e79,Bet on Ice Hockey with Betfair™ Sportsbook and browse Ice Hockey betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Ice Hockey Betting Odds,Ice Hockey Betting & Ice Hockey Odds Online » Betfair™ Sportsbook,text/html
