d_case_folding,d_digits_removal,d_breaking_hyphens,d_punctuation_mark_removal,d_tokenizing,d_stemming,d_stopword_removal,,label
"unt is a student-focused, public, research university located in denton, texas. as one of texas' largest universities, we offer 113 bachelor's, 94 master's and 37 doctoral degree programs within the university's 14 colleges and schools.","discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.","discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.",discover satisfies everyday curiosity with relevant and approachable science news feature articles photos and more,"['discover', 'satisfies', 'everyday', 'curiosity', 'with', 'relevant', 'and', 'approachable', 'science', 'news', 'feature', 'articles', 'photos', 'and', 'more']","['discover', 'satisfies', 'everyday', 'curiosity', 'with', 'relevant', 'and', 'approachable', 'science', 'news', 'feature', 'article', 'photo', 'and', 'more']","['discover', 'satisfies', 'everyday', 'curiosity', 'relevant', 'approachable', 'science', 'news', 'feature', 'article', 'photo']",,aman
"discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.","covering the automotive industry since  with in-depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.","covering the automotive industry since  with in depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.",covering the automotive industry since with in depth reviews and analysis features auto show reporting and advice for car owners and buyers,"['covering', 'the', 'automotive', 'industry', 'since', 'with', 'in', 'depth', 'reviews', 'and', 'analysis', 'features', 'auto', 'show', 'reporting', 'and', 'advice', 'for', 'car', 'owners', 'and', 'buyers']","['cover', 'the', 'automotive', 'industry', 'since', 'with', 'in', 'depth', 'review', 'and', 'analysis', 'feature', 'auto', 'show', 'reporting', 'and', 'advice', 'for', 'car', 'owner', 'and', 'buyer']","['cover', 'automotive', 'industry', 'since', 'depth', 'review', 'analysis', 'feature', 'auto', 'show', 'reporting', 'advice', 'car', 'owner', 'buyer']",,aman
"covering the automotive industry since 1955 with in-depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.","get auto insurance quotes at allstate.com. you're in good hands with allstate. allstate also offers insurance for your home, motorcycle, rv, as well as financial products such as permanent and term life insurance.","get auto insurance quotes at allstate.com. you're in good hands with allstate. allstate also offers insurance for your home, motorcycle, rv, as well as financial products such as permanent and term life insurance.",get auto insurance quotes at allstatecom you're in good hands with allstate allstate also offers insurance for your home motorcycle rv as well as financial products such as permanent and term life insurance,"['get', 'auto', 'insurance', 'quotes', 'at', 'allstatecom', 'you', ""'re"", 'in', 'good', 'hands', 'with', 'allstate', 'allstate', 'also', 'offers', 'insurance', 'for', 'your', 'home', 'motorcycle', 'rv', 'as', 'well', 'as', 'financial', 'products', 'such', 'as', 'permanent', 'and', 'term', 'life', 'insurance']","['get', 'auto', 'insurance', 'quote', 'at', 'allstatecom', 'you', 're', 'in', 'good', 'hand', 'with', 'allstate', 'allstate', 'also', 'offer', 'insurance', 'for', 'your', 'home', 'motorcycle', 'rv', 'a', 'well', 'a', 'financial', 'product', 'such', 'a', 'permanent', 'and', 'term', 'life', 'insurance']","['get', 'auto', 'insurance', 'quote', 'allstatecom', 'good', 'hand', 'allstate', 'allstate', 'also', 'offer', 'insurance', 'home', 'motorcycle', 'rv', 'well', 'financial', 'product', 'permanent', 'term', 'life', 'insurance']",,aman
"get auto insurance quotes at allstate.com. you're in good hands with allstate. allstate also offers insurance for your home, motorcycle, rv, as well as financial products such as permanent and term life insurance.",oregon state university continues to advance its -year mission to provide access to a high-quality education as oregon's largest and only statewide public research university.,oregon state university continues to advance its  year mission to provide access to a high quality education as oregon's largest and only statewide public research university.,oregon state university continues to advance its year mission to provide access to a high quality education as oregon's largest and only statewide public research university,"['oregon', 'state', 'university', 'continues', 'to', 'advance', 'its', 'year', 'mission', 'to', 'provide', 'access', 'to', 'a', 'high', 'quality', 'education', 'as', 'oregon', ""'s"", 'largest', 'and', 'only', 'statewide', 'public', 'research', 'university']","['oregon', 'state', 'university', 'continue', 'to', 'advance', 'it', 'year', 'mission', 'to', 'provide', 'access', 'to', 'a', 'high', 'quality', 'education', 'a', 'oregon', 's', 'large', 'and', 'only', 'statewide', 'public', 'research', 'university']","['oregon', 'state', 'university', 'continue', 'advance', 'year', 'mission', 'provide', 'access', 'high', 'quality', 'education', 'oregon', 'large', 'statewide', 'public', 'research', 'university']",,aman
oregon state university continues to advance its 150-year mission to provide access to a high-quality education as oregon's largest and only statewide public research university.,"resources to learn the english language for esl, efl, esol, and eap students and teachers. browse our glossary of terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on english here.","resources to learn the english language for esl, efl, esol, and eap students and teachers. browse our glossary of terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on english here.",resources to learn the english language for esl efl esol and eap students and teachers browse our glossary of terms join our busy forums download our free language software read our articles and teacher handouts and find useful links and information on english here,"['resources', 'to', 'learn', 'the', 'english', 'language', 'for', 'esl', 'efl', 'esol', 'and', 'eap', 'students', 'and', 'teachers', 'browse', 'our', 'glossary', 'of', 'terms', 'join', 'our', 'busy', 'forums', 'download', 'our', 'free', 'language', 'software', 'read', 'our', 'articles', 'and', 'teacher', 'handouts', 'and', 'find', 'useful', 'links', 'and', 'information', 'on', 'english', 'here']","['resource', 'to', 'learn', 'the', 'english', 'language', 'for', 'esl', 'efl', 'esol', 'and', 'eap', 'student', 'and', 'teacher', 'browse', 'our', 'glossary', 'of', 'term', 'join', 'our', 'busy', 'forum', 'download', 'our', 'free', 'language', 'software', 'read', 'our', 'article', 'and', 'teacher', 'handout', 'and', 'find', 'useful', 'link', 'and', 'information', 'on', 'english', 'here']","['resource', 'learn', 'english', 'language', 'esl', 'efl', 'esol', 'eap', 'student', 'teacher', 'browse', 'glossary', 'term', 'join', 'busy', 'forum', 'download', 'free', 'language', 'software', 'read', 'article', 'teacher', 'handout', 'find', 'useful', 'link', 'information', 'english']",,aman
"resources to learn the english language for esl, efl, esol, and eap students and teachers. browse our glossary of terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on english here.",join the top physics and stem forum community. find experts debating the latest physics research. request homework help for all sciences and math.,join the top physics and stem forum community. find experts debating the latest physics research. request homework help for all sciences and math.,join the top physics and stem forum community find experts debating the latest physics research request homework help for all sciences and math,"['join', 'the', 'top', 'physics', 'and', 'stem', 'forum', 'community', 'find', 'experts', 'debating', 'the', 'latest', 'physics', 'research', 'request', 'homework', 'help', 'for', 'all', 'sciences', 'and', 'math']","['join', 'the', 'top', 'physic', 'and', 'stem', 'forum', 'community', 'find', 'expert', 'debate', 'the', 'late', 'physic', 'research', 'request', 'homework', 'help', 'for', 'all', 'science', 'and', 'math']","['join', 'top', 'physic', 'stem', 'forum', 'community', 'find', 'expert', 'debate', 'late', 'physic', 'research', 'request', 'homework', 'help', 'science', 'math']",,aman
join the top physics and stem forum community. find experts debating the latest physics research. request homework help for all sciences and math.,"find compatible dram memory and ssd upgrades for your pc or laptop with our crucial advisor tool or crucial system scanner, with free us delivery!","find compatible dram memory and ssd upgrades for your pc or laptop with our crucial advisor tool or crucial system scanner, with free us delivery!",find compatible dram memory and ssd upgrades for your pc or laptop with our crucial advisor tool or crucial system scanner with free us delivery,"['find', 'compatible', 'dram', 'memory', 'and', 'ssd', 'upgrades', 'for', 'your', 'pc', 'or', 'laptop', 'with', 'our', 'crucial', 'advisor', 'tool', 'or', 'crucial', 'system', 'scanner', 'with', 'free', 'us', 'delivery']","['find', 'compatible', 'dram', 'memory', 'and', 'ssd', 'upgrade', 'for', 'your', 'pc', 'or', 'laptop', 'with', 'our', 'crucial', 'advisor', 'tool', 'or', 'crucial', 'system', 'scanner', 'with', 'free', 'u', 'delivery']","['find', 'compatible', 'dram', 'memory', 'ssd', 'upgrade', 'pc', 'laptop', 'crucial', 'advisor', 'tool', 'crucial', 'system', 'scanner', 'free', 'u', 'delivery']",,aman
"find compatible dram memory and ssd upgrades for your pc or laptop with our crucial advisor tool or crucial system scanner, with free us delivery!","turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.",turnitin solutions promote academic integrity streamline grading and feedback deter plagiarism and improve student outcomes,"['turnitin', 'solutions', 'promote', 'academic', 'integrity', 'streamline', 'grading', 'and', 'feedback', 'deter', 'plagiarism', 'and', 'improve', 'student', 'outcomes']","['turnitin', 'solution', 'promote', 'academic', 'integrity', 'streamline', 'grade', 'and', 'feedback', 'deter', 'plagiarism', 'and', 'improve', 'student', 'outcome']","['turnitin', 'solution', 'promote', 'academic', 'integrity', 'streamline', 'grade', 'feedback', 'deter', 'plagiarism', 'improve', 'student', 'outcome']",,aman
"turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","covering microsoft, apple, google, tesla and the web!","covering microsoft, apple, google, tesla and the web!",covering microsoft apple google tesla and the web,"['covering', 'microsoft', 'apple', 'google', 'tesla', 'and', 'the', 'web']","['cover', 'microsoft', 'apple', 'google', 'tesla', 'and', 'the', 'web']","['cover', 'microsoft', 'apple', 'google', 'tesla', 'web']",,aman
"covering microsoft, apple, google, tesla and the web!","automatic works cited and bibliography formatting for mla, apa and chicago/turabian citation styles. now supports th edition of mla.","automatic works cited and bibliography formatting for mla, apa and chicago/turabian citation styles. now supports th edition of mla.",automatic works cited and bibliography formatting for mla apa and chicago/turabian citation styles now supports th edition of mla,"['automatic', 'works', 'cited', 'and', 'bibliography', 'formatting', 'for', 'mla', 'apa', 'and', 'chicago/turabian', 'citation', 'styles', 'now', 'supports', 'th', 'edition', 'of', 'mla']","['automatic', 'work', 'cite', 'and', 'bibliography', 'format', 'for', 'mla', 'apa', 'and', 'chicago turabian', 'citation', 'style', 'now', 'support', 'th', 'edition', 'of', 'mla']","['automatic', 'work', 'cite', 'bibliography', 'format', 'mla', 'chicago turabian', 'citation', 'style', 'support', 'th', 'edition', 'mla']",,aman
