,url,description,title,label,description_p4,title_p4
0,https://discovermagazine.com,"Discover satisfies everyday curiosity with relevant and approachable science news, feature articles, photos and more.",Discover Magazine,aman,"['discov', 'satisfi', 'everyday', 'curios', 'relev', 'approach', 'scienc', 'news', 'featur', 'articl', 'photo']","['discov', 'magazin']"
1,https://caranddriver.com,"Covering the automotive industry since 1955 with in-depth reviews and analysis, features, auto show reporting, and advice for car owners and buyers.","Car and Driver: New Car Reviews, Buying Advice and News",aman,"['cover', 'automot', 'industri', 'sinc', 'depth', 'review', 'analysi', 'featur', 'auto', 'show', 'report', 'advic', 'car', 'owner', 'buyer']","['car', 'driver', 'new', 'car', 'review', 'buy', 'advic', 'news']"
2,https://allstate.com,"Get auto insurance quotes at Allstate.com. You're In Good Hands With Allstate. Allstate also offers insurance for your home, motorcycle, RV, as well as financial products such as permanent and term life insurance.",Allstate Insurance Company | You're in good hands,aman,"['get', 'auto', 'insur', 'quot', 'allstatecom', 'good', 'hand', 'allstat', 'allstat', 'also', 'offer', 'insur', 'home', 'motorcycl', 'rv', 'well', 'financi', 'product', 'perman', 'term', 'life', 'insur']","['allstat', 'insur', 'compani', 'good', 'hand']"
3,https://oregonstate.edu,Oregon State University continues to advance its 150-year mission to provide access to a high-quality education as Oregon's largest and only statewide public research university.,Oregon State University,aman,"['oregon', 'state', 'univers', 'continu', 'advanc', 'year', 'mission', 'provid', 'access', 'high', 'qualiti', 'educ', 'oregon', 'largest', 'onli', 'statewid', 'public', 'research', 'univers']","['oregon', 'state', 'univers']"
4,https://usingenglish.com,"Resources to learn the English language for ESL, EFL, ESOL, and EAP students and teachers. Browse our Glossary of Terms, join our busy forums, download our free language software, read our articles and teacher handouts, and find useful links and information on English here.",UsingEnglish.com: English Language (ESL) Learning Online,aman,"['resourc', 'learn', 'english', 'languag', 'esl', 'efl', 'esol', 'eap', 'student', 'teacher', 'brows', 'glossari', 'term', 'join', 'busi', 'forum', 'download', 'free', 'languag', 'softwar', 'read', 'articl', 'teacher', 'handout', 'find', 'use', 'link', 'inform', 'english']","['usingenglishcom', 'english', 'languag', 'esl', 'learn', 'onlin']"
5,https://physicsforums.com,Join the top physics and STEM forum community. Find experts debating the latest physics research. Request homework help for all sciences and math.,"Physics Forums | Science Articles, Homework Help, Discussion",aman,"['join', 'top', 'physic', 'stem', 'forum', 'communiti', 'find', 'expert', 'debat', 'latest', 'physic', 'research', 'request', 'homework', 'help', 'scienc', 'math']","['physic', 'forum', 'scienc', 'articl', 'homework', 'help', 'discuss']"
6,https://crucial.com,"Find compatible DRAM memory and SSD upgrades for your PC or Laptop with our Crucial Advisor tool or Crucial System Scanner, with FREE US delivery!","Crucial US | DRAM, Solid State Drive (SSD) & Memory Upgrades",aman,"['find', 'compat', 'dram', 'memori', 'ssd', 'upgrad', 'pc', 'laptop', 'crucial', 'advisor', 'tool', 'crucial', 'system', 'scanner', 'free', 'us', 'deliveri']","['crucial', 'us', 'dram', 'solid', 'state', 'drive', 'ssd', 'memori', 'upgrad']"
7,https://turnitin.com,"Turnitin solutions promote academic integrity, streamline grading and feedback, deter plagiarism, and improve student outcomes.","Empower Students to Do Their Best, Original Work | Turnitin",aman,"['turnitin', 'solut', 'promot', 'academ', 'integr', 'streamlin', 'grade', 'feedback', 'deter', 'plagiar', 'improv', 'student', 'outcom']","['empow', 'student', 'best', 'origin', 'work', 'turnitin']"
8,https://redmondpie.com,"Covering Microsoft, Apple, Google, Tesla and the web!",Redmond Pie,aman,"['cover', 'microsoft', 'appl', 'googl', 'tesla', 'web']","['redmond', 'pie']"
9,https://easybib.com,"Automatic works cited and bibliography formatting for MLA, APA and Chicago/Turabian citation styles. Now supports 7th edition of MLA.","EasyBib®: Free Bibliography Generator - MLA, APA, Chicago citation styles",aman,"['automat', 'work', 'cite', 'bibliographi', 'format', 'mla', 'chicago turabian', 'citat', 'style', 'support', 'th', 'edit', 'mla']","['easybib', 'free', 'bibliographi', 'generat', 'mla', 'chicago', 'citat', 'style']"
10,https://redorbit.com,"The latest in science, space, health, and technology",Home - Redorbit,aman,"['latest', 'scienc', 'space', 'health', 'technolog']","['home', 'redorbit']"
11,https://unt.edu,"UNT is a student-focused, public, research university located in Denton, Texas. As one of Texas' largest universities, we offer 113 bachelor's, 94 master's and 37 doctoral degree programs within the university's 14 colleges and schools.",University of North Texas,aman,"['unt', 'student', 'focus', 'public', 'research', 'univers', 'locat', 'denton', 'texa', 'one', 'texa', '', 'largest', 'univers', 'offer', 'bachelor', 'master', 'doctor', 'degre', 'program', 'within', 'univers', 'colleg', 'school']","['univers', 'north', 'texa']"
12,https://modmyi.com,Tear down the walls,ModMy | Tear down the walls,aman,"['tear', 'wall']","['modmi', 'tear', 'wall']"
13,https://manchester.ac.uk,"Part of the prestigious Russell Group of universities, The University of Manchester is the largest single-site university in the UK, with the biggest student community.",The University of Manchester,aman,"['part', 'prestigi', 'russel', 'group', 'univers', 'univers', 'manchest', 'largest', 'singl', 'site', 'univers', 'uk', 'biggest', 'student', 'communiti']","['univers', 'manchest']"
14,https://idownloadblog.com,"The best Apple blog providing news, reviews, tutorials, and jailbreak info, about everything iPhone, iPad, Apple Watch, Apple TV, Mac and iOS.",iDownloadBlog – Apple Blog: iPhone • Watch • iOS • Mac,aman,"['best', 'appl', 'blog', 'provid', 'news', 'review', 'tutori', 'jailbreak', 'info', 'everyth', 'iphon', 'ipad', 'appl', 'watch', 'appl', 'tv', 'mac', 'io']","['idownloadblog', '', 'appl', 'blog', 'iphon', '', 'watch', '', 'io', '', 'mac']"
15,https://infoworld.com,"Business technology, IT news, product reviews and enterprise IT strategies.",InfoWorld - Technology insight for the enterprise,aman,"['busi', 'technolog', 'news', 'product', 'review', 'enterpris', 'strategi']","['infoworld', 'technolog', 'insight', 'enterpris']"
16,https://wolfram.com,"Wolfram, creators of the Wolfram Language, Wolfram|Alpha, Mathematica, Development Platform, Data Science Platform, Finance Platform, SystemModeler...",Wolfram: Computation Meets Knowledge,aman,"['wolfram', 'creator', 'wolfram', 'languag', 'wolframalpha', 'mathematica', 'develop', 'platform', 'data', 'scienc', 'platform', 'financ', 'platform', 'systemmodel']","['wolfram', 'comput', 'meet', 'knowledg']"
