,url,description,title,url_file_type,description_p4,title_p4
2,https://www.omgubuntu.co.uk/tag/appupdates,"Here are the latest batch of Linux app updates, with new features distilled into an easily digestible format. Plus, instructions on how to install them too.",App Updates Archives - OMG! Ubuntu!,text/html,"['late', 'batch', 'linux', 'app', 'update', 'new', 'feature', 'distil', 'easily', 'digestible', 'format', 'plus', 'instruction', 'install']","['app', 'update', 'archive', 'omg', 'ubuntu']"
3,https://www.omgubuntu.co.uk/2021/12/audacity-gives-user-a-xmas-gift-50x-faster-project-loading,"Big performance improvements are on offer in the latest update to Audacity, the open source audio editor, as well as new shortcuts and several UI tweaks.",Audacity Delivers an Early Xmas Present: 50x Faster Project Loading - OMG! Ubuntu!,text/html,"['big', 'performance', 'improvement', 'offer', 'late', 'update', 'audacity', 'open', 'source', 'audio', 'editor', 'well', 'new', 'shortcut', 'several', 'ui', 'tweak']","['audacity', 'delivers', 'early', 'xmas', 'present', 'x', 'faster', 'project', 'load', 'omg', 'ubuntu']"
8,https://www.omgubuntu.co.uk/2021/12/maui-shell-convergent-desktop-for-linux-devices,The Maui Project recently shared designs for a new convergent Linux shell that will work across mobile devices and regular desktops — and it really fires,Maui Shell is a Beautiful Vision for the Future of Linux - OMG! Ubuntu!,text/html,"['project', 'recently', 'share', 'design', 'new', 'convergent', 'linux', 'shell', 'work', 'across', 'mobile', 'device', 'regular', 'desktop', '', 'really', 'fire']","['shell', 'beautiful', 'vision', 'future', 'linux', 'omg', 'ubuntu']"
17,https://www.omgubuntu.co.uk/2021/12/enlightenment-desktop-0-25-release,"Fans of the Enlightenment desktop need to check out the new Enlightenment 0.25 release. It includes a new look, fingerprint support, and more.",The Enlightenment Desktop Just Got a Big Update - OMG! Ubuntu!,text/html,"['fan', 'enlightenment', 'desktop', 'need', 'check', 'new', 'enlightenment', 'release', 'include', 'new', 'look', 'fingerprint', 'support']","['enlightenment', 'desktop', 'get', 'big', 'update', 'omg', 'ubuntu']"
23,https://www.omgubuntu.co.uk/2021/12/libadwaita-1-0-arrives-to-kickstart-a-new-era-of-gtk-app-development,"It's big, bold, and controversial – and it's now here. Libadwaita 1.0 has been released. Learn why it's a big deal, and what it could mean for Ubuntu.",Libadwaita 1.0 Arrives to Kickstart a New Era of GTK App Development - OMG! Ubuntu!,text/html,"['big', 'bold', 'controversial', '', 'libadwaita', 'release', 'learn', 'big', 'deal', 'could', 'mean', 'ubuntu']","['libadwaita', 'arrives', 'kickstart', 'new', 'era', 'gtk', 'app', 'development', 'omg', 'ubuntu']"
92,https://www.kaskus.co.id/,"Forum diskusi hobi, rumah ribuan komunitas dan pusat jual beli barang hobi di Indonesia.","KASKUS - Berbagi Hobi, Berkomunitas",text/html,"['forum', 'diskusi', 'hobi', 'rumah', 'ribu', 'komunitas', 'pusat', 'jual', 'beli', 'barang', 'hobi', 'indonesia']","['kaskus', 'hobi', 'komunitas']"
170,https://outlook.live.com/owa/azis.naufal@gmail.com/startupdata.ashx?app=Opx&n=0,"Get free Outlook email and calendar, plus Office Online apps like Word, Excel and PowerPoint. Sign in to access your Outlook, Hotmail or Live email account.",Outlook – free personal email and calendar from Microsoft,text/html,"['get', 'free', 'outlook', 'email', 'calendar', 'plus', 'office', 'online', 'apps', 'like', 'word', 'excel', 'powerpoint', 'sign', 'access', 'outlook', 'hotmail', 'live', 'email', 'account']","['outlook', '', 'free', 'personal', 'email', 'calendar', 'microsoft']"
215,https://www.betclic.com/en/sports-betting/,Enjoy Online Betting on all the major Sports events and Live Matches with Betclic ! All the statistics and updated Odds for more than 20 Sports. Register Now !,"Online Sports Betting Football, Tennis, Basketball, Ice Hockey",text/html,"['enjoy', 'online', 'bet', 'major', 'sport', 'event', 'live', 'match', 'betclic', 'statistic', 'update', 'odds', 'sport', 'register']","['online', 'sport', 'bet', 'football', 'tennis', 'basketball', 'ice', 'hockey']"
264,https://www.betfair.com/sport/home,Bet online with Betfair Sportsbook and browse our great selection of sports betting odds. ✓Bet In-Play ✓Cash Out ✓Sports Betting Odds,Online Sports Betting & Odds » Bet with Betfair™ Sportsbook,text/html,"['bet', 'online', 'betfair', 'sportsbook', 'browse', 'great', 'selection', 'sport', 'bet', 'odds', 'bet', 'play', 'cash', 'sports', 'bet', 'odds']","['online', 'sport', 'bet', 'odds', '', 'bet', 'betfair', 'sportsbook']"
269,https://www.betfair.com/sport/football/mexican-liga-mx/san-luis-v-pachuca/31143180?selectedGroup=65921&xsrftoken=04b38601-6c8f-11ec-90f8-fa163e3ac897,Bet on Football with Betfair™ Sportsbook and browse Football betting odds on your favourite markets. ✓Bet In-Play ✓Cash Out ✓Football Betting Odds,Football Betting & Football Odds Online » Betfair™ Sportsbook,text/html,"['bet', 'football', 'betfair', 'sportsbook', 'browse', 'football', 'bet', 'odds', 'favourite', 'market', 'bet', 'play', 'cash', 'football', 'bet', 'odds']","['football', 'bet', 'football', 'odds', 'online', '', 'betfair', 'sportsbook']"
