,0,48,137,140,77
accredit,0.0,0.2950691913111875,0.0,0.0,0.0
align,0.0,0.2950691913111875,0.0,0.0,0.0
bachelor,0.2218743795038938,0.0,0.0,0.0,0.0
bantu,0.0,0.0,0.0,0.0,0.18055716445435988
broadcast,0.0,0.0,0.0,0.352366157739777,0.0
chat,0.0,0.0,0.0,0.25018979524566526,0.0
cloud,0.0,0.0,0.0,0.0,0.18055716445435988
college,0.16955547446662883,0.22549064405327096,0.0,0.0,0.0
course,0.0,0.2602799176822292,0.0,0.0,0.0
data,0.0,0.0,0.0,0.0,0.3052142531301199
degree,0.18729346427264154,0.24908027310034353,0.0,0.0,0.0
denton,0.2218743795038938,0.0,0.0,0.0,0.0
desktop,0.0,0.0,0.43402465337735335,0.0,0.0
disk,0.0,0.0,0.0,0.0,0.387864697732343
doctoral,0.2218743795038938,0.0,0.0,0.0,0.0
dunia,0.0,0.0,0.0,0.0,0.1939323488661715
explore,0.0,0.21957907668169324,0.0,0.0,0.0
focus,0.20657208074109817,0.0,0.0,0.0,0.0
free,0.0,0.0,0.1643266070631342,0.12420873775592663,0.0
hard,0.0,0.0,0.0,0.0,0.3274128498738027
large,0.14110804190516343,0.0,0.0,0.0,0.0
layan,0.0,0.0,0.0,0.0,0.1939323488661715
lengkap,0.0,0.0,0.0,0.0,0.18055716445435988
live,0.0,0.0,0.0,0.22773204099528524,0.0
locate,0.1957149269852613,0.0,0.0,0.0,0.0
manajemen,0.0,0.0,0.0,0.0,0.1939323488661715
manfaat,0.0,0.0,0.0,0.0,0.1939323488661715
master,0.1957149269852613,0.0,0.0,0.0,0.0
mobile,0.0,0.0,0.33855559448272604,0.0,0.0
movie,0.0,0.0,0.23063691871309047,0.0,0.0
naked,0.0,0.0,0.0,0.24497465170810567,0.0
occupation,0.0,0.2950691913111875,0.0,0.0,0.0
offer,0.157536994853328,0.20950735175870283,0.0,0.0,0.0
one,0.15123235491775264,0.0,0.0,0.0,0.0
online,0.0,0.32522815825032886,0.0,0.0,0.0
opportunity,0.0,0.2747187708109195,0.0,0.0,0.0
people,0.0,0.0,0.0,0.26927674657678247,0.0
phoenix,0.0,0.2950691913111875,0.0,0.0,0.0
phone,0.0,0.0,0.39351872053154985,0.0,0.0
porn,0.0,0.0,0.33586309470268805,0.0,0.0
potensi,0.0,0.0,0.0,0.0,0.1939323488661715
program,0.18729346427264154,0.0,0.0,0.0,0.0
public,0.16955547446662883,0.0,0.0,0.0,0.0
real,0.0,0.0,0.0,0.2559023386562747,0.0
registration,0.0,0.0,0.0,0.3108214521582797,0.0
require,0.0,0.0,0.0,0.29744704423777196,0.0
research,0.1280937231852008,0.0,0.0,0.0,0.0
save,0.0,0.2747187708109195,0.0,0.0,0.0
school,0.2218743795038938,0.0,0.0,0.0,0.0
seagate,0.0,0.0,0.0,0.0,0.1939323488661715
sex,0.0,0.0,0.20782516032523873,0.1570877735460294,0.0
sign,0.0,0.0,0.0,0.352366157739777,0.0
simpan,0.0,0.0,0.0,0.0,0.387864697732343
sistem,0.0,0.0,0.0,0.0,0.1939323488661715
solid,0.0,0.0,0.0,0.0,0.1939323488661715
solusi,0.0,0.0,0.0,0.0,0.1939323488661715
state,0.0,0.0,0.0,0.0,0.15769213567845988
student,0.15425317570383323,0.0,0.0,0.0,0.0
terobos,0.0,0.0,0.0,0.0,0.1939323488661715
texas,0.41314416148219635,0.0,0.0,0.0,0.0
tube,0.0,0.0,0.24388347726490503,0.0,0.0
tuition,0.0,0.2950691913111875,0.0,0.0,0.0
university,0.42332412571549033,0.1876586017076885,0.0,0.0,0.0
unt,0.2218743795038938,0.0,0.0,0.0,0.0
video,0.0,0.0,0.17074705125580616,0.0,0.0
watch,0.0,0.0,0.0,0.3761804724266231,0.0
webcam,0.0,0.0,0.0,0.26927674657678247,0.0
within,0.2218743795038938,0.0,0.0,0.0,0.0
youjizz,0.0,0.0,0.4661760210383255,0.0,0.0
