,weight
aaas,0.0
ac,0.0
academiaedu,-1.915716982765514
academic,-0.8961802890639259
access,-1.113674170710567
accessible,0.0
accessory,-0.8530680069742234
account,1.0193285355403765
accredit,0.0
accurate,0.0
across,-1.554317041281029
action,0.0
active,0.9439885196914246
acura,0.0
ad,1.0291156228226817
adam,1.0041260728542194
adapter,-0.82259253795844
add,0.0
adult,3.8707033237796984
advance,0.0
advanced,0.0
advertise,0.0
advice,0.0
advisor,-0.9560749092156596
affiliate,0.0
affinity,0.0
aftermarket,0.0
agam,-1.13135515302621
airplane,0.0
ak,-1.13135515302621
alat,0.0
align,0.0
allstate,0.0
allstatecom,0.0
almost,1.0674358129112698
along,0.0
alpha,0.0
also,0.0
always,0.0
amateur,1.3001528164149694
amateursoftcore,0.0
amaze,0.0
amazon,0.0
america,-0.6688743516087944
american,0.0
among,0.0
amount,0.899039824717102
amp,0.0
anal,0.0
analog,-0.9622073342928296
analysis,0.0
analytics,0.0
analyze,0.0
android,-2.504888832382211
animal,0.0
anime,1.6117061214900759
annually,0.0
answer,0.0
antenna,-0.82259253795844
anyone,0.0
anything,0.9439885196914246
ape,0.0
apetubecom,0.0
app,0.0
appbrain,0.0
apple,-1.4572915985520918
appleinsider,0.0
apply,0.0
appointment,0.0
approachable,0.0
apps,0.0
archive,0.0
arise,-0.9171427708053986
around,0.0
arrange,0.0
arrival,-0.82259253795844
art,0.967112375207871
artful,1.0997952172931533
article,-0.9391876491024121
artist,0.0
ashemaletubecom,0.0
asi,0.0
ass,0.0
assessment,0.0
association,0.0
astronomy,0.0
atlanta,0.0
attack,0.0
attend,0.0
atvs,0.0
audio,1.1185496561195822
australia,-1.115006142984924
author,-0.9464877337987664
authority,0.0
auto,0.0
autoblog,0.0
autoblogcom,0.0
autocar,0.0
automatic,-0.9574690266717161
automotive,0.0
av,-1.1324832255405164
available,0.0
award,0.0
awe,0.0
babe,1.5860823051745079
babescom,0.0
babysitter,0.0
bachelor,0.0
back,-1.6044816853948014
badjojo,0.0
banana,0.0
bang,0.0
bangbroscom,0.0
bantu,0.0
barbara,0.0
base,-0.8966199493410062
basic,0.0
bay,0.0
bdsm,0.0
bear,0.0
beastiality,0.0
beautiful,0.9895165998111279
beauty,0.0
become,0.0
begin,0.0
beli,0.0
benchmark,0.0
benchmarked,0.0
benefit,0.0
benz,-0.939476070699738
best,0.15618669170019092
bestiality,0.0
bet,-0.9714888257601031
bi,0.8906680523765388
bibliography,-0.9574690266717161
big,0.8659472561078086
bingo,-0.9714888257601031
bio,0.899039824717102
biography,-1.1125944927740723
black,0.0
blackboard,-1.1747958378650614
blockbuster,0.0
blog,-2.302767450051087
blogging,0.0
blooper,0.0
blue,0.0
board,0.9719651337355235
boat,0.0
bondage,0.0
boob,1.12415263687275
boobpedia,0.0
book,0.0
bookmark,0.0
bose,0.0
boyfriendtvcom,0.0
brand,-0.7658597290418276
bravoeroticacom,0.0
brazzers,0.0
brazzerscom,0.0
break,0.0
breakthrough,0.0
bring,-1.1441818283256204
brings,0.9283832441487566
britannica,-1.1125944927740723
british,0.0
broadcast,0.0
bros,0.0
browse,0.03573653147109274
budget,-0.963039120277735
build,0.0
built,0.0
bukkake,0.0
buletin,0.0
bundle,0.0
business,-0.897774074393008
busty,0.0
busy,0.0
buy,-0.9171427708053986
buyer,0.0
buying,0.0
cable,-0.82259253795844
cafe,0.0
calculate,0.0
california,0.0
cam,0.8530337245339287
canada,0.0
car,-2.8996447208679776
card,0.0
career,0.0
cargurus,-1.1790020589788985
cari,0.0
carolina,0.0
carscom,0.0
case,-0.967089928384884
cash,0.0
casino,-0.9714888257601031
category,0.0
cater,0.0
cations,0.0
celeb,0.0
celebrates,0.0
celebrity,0.0
celebs,0.0
center,0.0
central,0.0
centre,0.0
century,0.0
certificate,0.0
change,0.0
channel,0.0
chapel,0.0
chat,2.3961897904273304
chatroulette,0.0
cheat,0.0
check,0.0
checked,-1.1125944927740723
cheerleader,0.0
chemistry,0.0
chevrolet,0.0
chevy,0.0
chicago,-0.9574690266717161
chinese,-0.9989224646331646
chip,-0.9622073342928296
choose,0.0
chorus,0.0
chromeos,0.0
citation,-0.9574690266717161
cite,-0.9574690266717161
city,0.0
clarity,0.0
class,0.0
classic,1.0319495852393439
classroom,-1.0801853329808626
click,0.0
climate,0.0
clip,0.7589172020079018
cliphunter,0.0
clipssalecom,0.0
clothing,0.9146031415417226
cloud,0.0
club,1.0948376253085683
coast,0.0
cock,0.0
cohesive,0.0
collect,0.0
collection,-0.06952300014221253
college,0.0
color,-0.963039120277735
columbia,0.0
combine,-0.939476070699738
come,-3.326148096731366
comic,0.0
commentary,0.0
commit,0.0
community,-0.7768048022694661
company,-0.782399276846904
compare,0.0
compatible,-0.8901360480765619
compete,0.0
competitor,0.0
compilation,0.0
completely,1.7040754968142795
complex,0.0
comprehensive,0.0
comprise,0.0
compute,-1.0729614137763708
computer,0.0
