,weight
aaa,0.0
academiaedu,0.0
accessory,-1.58003947372784
adam,1.2259395125160482
admission,0.0
adult,4.941045085963649
adultworkcom,0.0
advance,-1.189796679585079
advertise,-1.5664268998387547
advice,0.0
aebn,0.0
affinity,0.0
affordable,0.0
ahead,1.871958068139262
allstate,0.0
alpha,0.0
always,0.0
amateur,1.4719144128914383
america,-0.004073648122547747
american,-2.0586872052258536
amp,0.0
analog,-1.545698299324427
analysis,0.0
analytics,0.0
analyze,-1.5664268998387547
android,-1.3222866076590238
animal,0.0
anime,2.797135489650369
anything,0.0
ape,0.0
app,0.0
appadvice,0.0
appbraincom,-1.5664268998387547
apple,-1.4227473481618835
appleinsider,0.0
appliance,-1.7542179630680497
apps,-1.5664268998387547
archive,0.0
art,3.4693554223980416
artful,0.0
article,0.0
ashemaletubecom,0.0
assessment,0.0
astronomy,0.0
auction,0.0
audio,0.0
australia,-1.7027177935283622
auto,-2.13650630795222
autocar,0.0
autosport,0.0
av,0.0
avforums,0.0
babe,2.184083221599281
badjojo,2.7074072752083165
bang,0.0
barbara,0.0
battery,-1.147386446615636
beastiality,0.0
beautiful,1.009887794138265
beauty,0.0
benchmark,0.0
benefit,-1.189796679585079
benz,0.0
berita,0.0
best,0.9663199641634244
bibliography,-1.4138379881024765
bibsonomy,0.0
big,1.9188925428534092
bio,1.2380049826595467
blackboard,0.0
blog,-1.3479696402582542
boob,2.273187128732286
boobpedia,0.0
book,0.0
bose,0.0
boyfriendtvcom,0.0
boysfoodcom,0.0
brainyquote,0.0
bravo,0.0
bravotube,0.0
brazzers,2.141350941035421
britannica,-3.348660393110862
british,-2.4318964837717876
bros,0.0
business,0.0
buy,-1.5982832960680347
buying,0.0
california,0.0
cam,2.697112625114103
cambridge,0.0
camcom,1.1764491671172552
camfuzecom,1.6506903152477965
camscom,0.0
car,-2.8012028651544716
card,0.0
cargurus,-1.5982832960680347
caridcom,0.0
carolina,0.0
carscom,0.0
case,-1.6970845070994935
category,1.3670935504328545
celebs,1.3670935504328545
center,-1.4287238002884157
central,0.0
change,0.0
chapel,0.0
chart,0.0
chat,0.8990375417047008
chatroulette,0.0
chaturbate,0.0
check,1.8546641575405352
chemical,-2.211189162704772
chevrolet,0.0
chicago,-1.4138379881024765
citation,-1.4138379881024765
city,0.0
classroom,-1.7127684061312503
clip,1.0066585117827775
cliphuntercom,0.0
clipssale,0.0
club,1.5237415223646626
co,0.0
cock,0.0
college,0.0
columbia,-2.4318964837717876
comic,0.0
community,1.3440892159825841
company,-1.4390941153429577
complex,1.5037600836931448
computation,-1.8719580681392731
computational,0.0
confidential,0.0
connection,0.0
content,0.0
cosplay,0.0
country,0.0
coupe,0.0
course,0.0
coursera,0.0
coverage,-1.6970845070994947
cpu,0.0
craftsy,-1.2420292885247837
craftsycom,-1.2420292885247837
creativity,-1.2420292885247837
credential,0.0
crossover,0.0
crucial,-1.3599057942645616
cruise,0.0
crutchfield,0.0
cruz,0.0
culture,0.0
customize,-1.6970845070994947
cybersecurity,0.0
daily,2.1615509891037874
data,-1.3301871486461005
database,0.0
date,1.6253971250774466
davidson,0.0
deal,0.0
dealer,0.0
dedicate,-1.189796679585079
define,1.2380049826595467
definition,1.7015503889578605
delivery,-1.4005999829662419
demand,0.0
deviantclip,0.0
device,0.0
digital,0.0
direct,1.7674870522634512
direction,-1.5408318254613431
discover,-2.6473484881562825
discovery,0.0
discussion,0.0
dmv,0.0
dmvorg,0.0
dog,0.0
dot,0.0
download,-0.4411475548031573
downloads,0.0
dram,-1.3599057942645616
drive,-2.7006786774145985
driver,1.2728074323502239
drtubercom,0.0
dudesnude,3.7439161362785223
dvd,0.0
easybib,-1.4138379881024765
educational,0.0
educator,0.0
efuktcom,1.981822965501482
electric,0.0
electronics,-1.4005999829662419
elektronik,0.0
elephanttube,0.0
embed,-1.545698299324427
empower,-1.6015743208387976
encyclopedia,-1.674330196555431
engage,-1.2420292885247837
engine,0.0
english,0.0
entensitynet,2.1615509891037874
enterprise,0.0
entertainment,0.0
eporner,1.7015503889578605
erotic,2.8777262177736924
erotica,4.2838328618530275
escort,0.0
esl,0.0
ets,0.0
eve,1.2259395125160482
event,1.5237415223646626
exhibitionist,0.0
expert,0.0
exploration,0.0
express,-1.2420292885247837
extreme,0.0
fact,0.0
fakku,0.0
female,2.7359935510192472
femjoy,2.5759564160327524
fetish,0.0
film,0.0
financing,-1.5982832960680347
find,-1.9375810957186714
fleshbot,0.0
fling,0.0
flirt,0.0
flirtfree,0.0
flurry,0.0
ford,0.0
foreign,0.0
formula,0.0
forum,0.719893082181666
francisco,0.0
free,3.5172993590037374
freeones,0.0
freeporn,0.0
fuck,0.0
full,1.5841973513065384
fuqcom,0.0
fur,0.0
fuskator,0.0
fux,0.0
gallery,1.045051900573445
galore,0.0
gamble,-2.5989553454681666
game,4.031656845940315
garden,0.0
gay,2.9273322938902213
gear,-1.6970845070994935
geek,0.0
geforcecom,0.0
gelbooru,0.0
generator,-1.4138379881024765
georgia,-2.942201351538425
get,0.0
gifs,0.0
girl,0.0
girlfriend,0.0
gizmodo,0.0
glam,0.0
global,0.0
go,1.871958068139262
gonzo,0.0
good,0.0
gotgayporncom,0.0
graphic,0.0
green,0.0
guide,0.0
hacker,0.0
hand,0.0
hardcore,0.0
harley,0.0
harvard,0.0
hd,2.2629414468900575
headphone,0.0
headset,0.0
help,0.0
hentai,1.5964422499804494
hibur,0.0
high,1.7015503889578605
hill,0.0
home,-1.1735840866081346
homemade,0.0
homemoviestubecom,0.0
homepage,-1.3731552604966664
homework,0.0
honda,0.0
hoodies,1.4595975032973716
hookup,0.0
hopkins,0.0
hornywhoresnet,1.7674870522634512
horse,0.0
host,1.524042717377618
hot,1.0066585117827775
hotties,0.0
hottystopcom,0.0
huge,0.0
humanity,-1.189796679585079
humor,1.981822965501482
hybrid,0.0
id,0.0
idol,0.0
idownloadblog,-1.528140608022759
ieee,-1.189796679585079
ijailbreak,0.0
image,1.2728074323502239
imagefap,0.0
imlivecom,1.524042717377618
inc,0.0
index,0.0
indexmundi,0.0
indonesia,-1.4808089159593387
infoworld,0.0
innovation,-1.4287238002884157
insight,0.0
inspirational,0.0
institution,0.0
insurance,-1.5800394737278411
intel,-1.4287238002884157
intelligence,0.0
interest,0.0
io,-1.289967543851815
iot,-1.4287238002884157
iowa,0.0
iphone,-1.528140608022759
jailbreak,0.0
jalopnik,-3.7439161362785223
japan,1.5037600836931448
japanese,0.0
jav,0.0
jeep,0.0
jjgirls,0.0
john,0.0
join,0.0
joymii,0.0
keyboard,0.0
kid,0.0
kindgirls,0.0
king,2.717807033414964
kitty,1.8546641575405352
knowledge,-1.8719580681392731
konferensi,0.0
language,0.0
laptop,0.0
large,-1.1077384252760294
late,0.0
learn,-1.0484489858452022
length,0.0
lesbian,0.0
liberty,-1.6970845070994947
library,0.0
lifestyle,1.5237415223646626
live,1.953832934846555
livejasmin,0.0
lm,-1.7127684061312503
lobster,0.0
logitech,0.0
london,0.0
look,1.871958068139262
luxury,0.0
mac,-1.4227473481618835
madthumbs,0.0
magazine,-2.6473484881562825
make,-1.0099307940514284
maker,-1.1839302359297483
male,0.0
manchester,0.0
manga,1.4000483071478265
map,-1.5408318254613431
maplin,-2.8011999659324838
mapquest,-1.5408318254613431
marketing,0.0
mashable,-3.7439161362785223
math,0.0
mathworks,-1.1839302359297483
matlab,-2.3678604718594967
mature,1.8426493274124642
mechanic,0.0
meet,-1.8719580681392731
memory,-1.3599057942645616
men,2.856953484310797
mencom,2.3679611403787844
mercedes,0.0
military,0.0
mla,-1.4138379881024765
mobile,-1.4264065724930313
model,0.0
modmy,-2.1615509891037874
mofoscom,0.0
monetize,-1.5664268998387547
money,-1.2994776727340833
motherlesscom,1.871958068139262
motogp,0.0
motor,-1.3995270213870223
motorsport,0.0
motortrend,0.0
mouse,0.0
movie,1.6053840623539
mutual,-1.6970845070994947
myfreecams,0.0
mystery,0.0
nadaguides,0.0
naked,1.0377433544109782
nasa,0.0
nature,0.0
naughty,1.8566361084482987
near,-1.147386446615636
net,0.0
netcarshowcom,0.0
netgear,0.0
networking,0.0
new,0.0
news,-0.9144534061525308
newsgeeks,0.0
nice,1.8546641575405352
nifty,0.0
nissan,0.0
north,0.0
nude,2.8970770972904
nuvid,0.0
observe,1.5037600836931448
official,-1.1500640717076698
ohio,0.0
